stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
15070,5070,W STROOP RD @ TRAILS END DR,,39.689921,-84.181968,,,,,0
15071,5071,W STROOP RD @ OVERLAND TRL,,39.689808,-84.178529,,,,,0
15072,5072,W STROOP RD @ STONEHAVEN RD,W Stroop Rd & S Stonehaven Rd,39.689617,-84.17459,,,,,0
15073,5073,W STROOP RD @ ELMRIDGE RD,W Stroop Rd & Lenox Dr,39.68953,-84.172248,,,,,0
15075,5075,WILMINGTON PIKE @ 4025 WILMINGTO,WILMINGTON PIKE & RAMP,39.687304,-84.130473,,,,,0
15077,5077,W STROOP RD @ KENWICK DR,,39.689764,-84.170883,,,,,0
15078,5078,W STROOP RD @ STONEHAVEN RD,,39.689865,-84.174797,,,,,0
15079,5079,W STROOP RD @ OVERLAND TRL,,39.689998,-84.179411,,,,,0
15080,5080,W STROOP RD @ TRAILS END DR,,39.690056,-84.181577,,,,,0
15081,5081,W STROOP RD @ BROOKDALE DR,,39.690688,-84.186051,,,,,0
15082,5082,W STROOP RD @ DOGWOOD TRL,,39.691542,-84.190386,,,,,0
15095,5095,WILMINGTON PIKE @ WOODMAN DR,,39.686083,-84.128697,,,,,0
15096,5096,WILMINGTON PIKE @ 4040 WILMINGTO,,39.68758,-84.130325,,,,,0
15103,5103,WILMINGTON PIKE @ WOODMAN DR,,39.685893,-84.128747,,,,,0
15110,5110,WAYNE AV @ E 3RD ST,,39.76038,-84.185342,,,,,0
15136,5136,SHROYER RD @ WILMINGTON AV,,39.732345,-84.159228,,,,,0
15142,5142,HARSHMAN RD @ 2661 HARSHMAN RD,HARSHMAN RD & HERITAGE POINT DR,39.811527,-84.130406,,,,,0
15143,5143,HARSHMAN RD @ 2405 HARSHMAN RD,,39.810421,-84.130468,,,,,0
15145,5145,HARSHMAN RD @ TRANSPORTATION RD,,39.801249,-84.130157,,,,,0
15146,5146,HARSHMAN RD @ VALLEY ST,,39.79847,-84.129481,,,,,0
15151,5151,HARSHMAN RD @ VALLEY ST,,39.799094,-84.129415,,,,,0
15152,5152,HARSHMAN RD @ RAMBLEWOOD DR,,39.800948,-84.129855,,,,,0
15153,5153,HARSHMAN RD @ AMSTON DR,,39.804715,-84.13061,,,,,0
15154,5154,HARSHMAN RD @ 2320 HARSHMAN RD,Harshman Rd & Ramblewood Dr,39.806909,-84.130406,,,,,0
15172,5172,DOROTHY LN @ SPRINGBORO PIKE,,39.709689,-84.215305,,,,,0
15173,5173,DOROTHY LN @ SPRINGBORO PIKE,,39.709851,-84.215304,,,,,0
15175,5175,SOUTHERN BLVD @ BIG HILL RD,,39.699061,-84.190238,,,,,0
15176,5176,SOUTHERN BLVD @ BIG HILL RD,,39.69937,-84.190302,,,,,0
15178,5178,LAMME RD @ BELLE ISLE DR (2),,39.675725,-84.212363,,,,,0
15179,5179,LAMME RD @ BELLE ISLE DR,Lamme Rd & Unnamed,39.675444,-84.212106,,,,,0
15199,5199,GERMANTOWN ST @ LISCUM DR,,39.724859,-84.266369,,,,,0
15201,2973,VALLEY PIKE @ 2801 VALLEY PIKE,,39.795732,-84.133454,,,,,0
15202,5202,VALLEY ST @ TROY ST,,39.770685,-84.174798,,,,,0
15204,5204,STOP EIGHT RD @ WEBSTER ST,,39.834646,-84.180639,,,,,0
